# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_conservative_inframe_deletion	variants_effect_conservative_inframe_insertion	variants_effect_disruptive_inframe_deletion	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_stop_gained	variants_effect_upstream_gene_variant
dfp	gene-ECB_03496	TRANSCRIPT_gene-ECB_03496	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dhaR	gene-ECB_01176	TRANSCRIPT_gene-ECB_01176	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dinD	gene-ECB_03502	TRANSCRIPT_gene-ECB_03502	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
dinG	gene-ECB_00766	TRANSCRIPT_gene-ECB_00766	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dkgA	gene-ECB_02885	TRANSCRIPT_gene-ECB_02885	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
dkgB	gene-ECB_00200	TRANSCRIPT_gene-ECB_00200	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
dnaJ	gene-ECB_00015	TRANSCRIPT_gene-ECB_00015	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dnaK	gene-ECB_00014	TRANSCRIPT_gene-ECB_00014	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dsbA	gene-ECB_03746	TRANSCRIPT_gene-ECB_03746	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dsdC	gene-ECB_02274	TRANSCRIPT_gene-ECB_02274	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
dut	gene-ECB_03497	TRANSCRIPT_gene-ECB_03497	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
ecpD	gene-ECB_00139	TRANSCRIPT_gene-ECB_00139	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
elaC	gene-ECB_02195	TRANSCRIPT_gene-ECB_02195	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
elaD	gene-ECB_02196	TRANSCRIPT_gene-ECB_02196	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
erfK	gene-ECB_01899	TRANSCRIPT_gene-ECB_01899	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
eutE	gene-ECB_02346	TRANSCRIPT_gene-ECB_02346	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
eutG	gene-ECB_02344	TRANSCRIPT_gene-ECB_02344	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
eutH	gene-ECB_02343	TRANSCRIPT_gene-ECB_02343	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
eutI	gene-ECB_02349	TRANSCRIPT_gene-ECB_02349	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
eutJ	gene-ECB_02345	TRANSCRIPT_gene-ECB_02345	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
eutP	gene-ECB_02352	TRANSCRIPT_gene-ECB_02352	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
eutQ	gene-ECB_02351	TRANSCRIPT_gene-ECB_02351	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
eutT	gene-ECB_02350	TRANSCRIPT_gene-ECB_02350	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
exbB	gene-ECB_02880	TRANSCRIPT_gene-ECB_02880	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
exbD	gene-ECB_02879	TRANSCRIPT_gene-ECB_02879	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
fabD	gene-ECB_01088	TRANSCRIPT_gene-ECB_01088	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
fabF	gene-ECB_01091	TRANSCRIPT_gene-ECB_01091	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
fabG	gene-ECB_01089	TRANSCRIPT_gene-ECB_01089	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
fabH	gene-ECB_01087	TRANSCRIPT_gene-ECB_01087	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
fadD	gene-ECB_01775	TRANSCRIPT_gene-ECB_01775	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
fadL	gene-ECB_02268	TRANSCRIPT_gene-ECB_02268	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
fbaB	gene-ECB_02025	TRANSCRIPT_gene-ECB_02025	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
feaB	gene-ECB_01357	TRANSCRIPT_gene-ECB_01357	protein_coding	1	0	0	0	0	0	0	0	1	0	0	0	0
feaR	gene-ECB_01356	TRANSCRIPT_gene-ECB_01356	protein_coding	0	0	1	0	0	0	0	0	0	0	0	0	1
fhuA	gene-ECB_00149	TRANSCRIPT_gene-ECB_00149	protein_coding	1	0	1	0	0	0	0	1	1	0	0	0	0
fhuB	gene-ECB_00152	TRANSCRIPT_gene-ECB_00152	protein_coding	1	0	1	0	0	0	0	0	1	0	0	0	1
fhuC	gene-ECB_00150	TRANSCRIPT_gene-ECB_00150	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
fhuD	gene-ECB_00151	TRANSCRIPT_gene-ECB_00151	protein_coding	0	0	2	0	0	0	0	1	0	0	0	0	1
fhuE	gene-ECB_01098	TRANSCRIPT_gene-ECB_01098	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
fkpA	gene-ECB_03198	TRANSCRIPT_gene-ECB_03198	protein_coding	0	0	1	0	0	0	0	1	0	0	0	0	0
